,id,asin,title,price,original_price,currency,star_rating,num_ratings,url,photo,num_offers,minimum_offer_price,is_best_seller,is_amazon_choice,is_prime,climate_pledge_friendly,sales_volume_in_past_month,delivery,has_variations,coupon_text,unit_price,unit_count,availability
0,0,B0D9H39JL7,USB C Charger iPhone Charger Fast Charging 2Pack 20W Type C Wall Charger Block with 6FT Long USB C to Lightning Cable Compatible with for iPhone 14Pro/13 Pro/12/12 Pro Max/11/XS Max/XS/XR/X/8,19.77,29.77,USD,5.0,4,https://www.amazon.com/dp/B0D9H39JL7,https://m.media-amazon.com/images/I/610G+kDmBEL._AC_UL960_FMwebp_QL65_.jpg,1,19.77,False,False,False,False,50.0,FREE delivery on $35 shipped by Amazon.,False,,,,
1,1,B0D7VRMJ9Y,Ear buds Wireless Earbuds 80Hrs Playtime Bluetooth 5.3 Headphones Build-in Mic IPX7 Waterproof Sport Wireless Earphones with Earhook Premium Sound Dual LED Display Headset for Workout Phone TV Black,19.99,36.99,USD,5.0,193,https://www.amazon.com/dp/B0D7VRMJ9Y,https://m.media-amazon.com/images/I/61D5NNCirfL._AC_UL960_FMwebp_QL65_.jpg,2,19.79,False,False,True,False,200.0,"FREE delivery Wed, Jul 31 on $35 of items shipped by AmazonOr fastest delivery Mon, Jul 29",False,Save 20% with coupon,,,
2,2,B0D6NKMVMP,"Larsa Pippen - The Larsa Light - LED Selfie Light with Clip &amp; Glass Mirror - Rechargeable Selfie Light for Phone or Camera - 142 LEDs-Adjustable Brightness - Ideal for Makeup, TikTok, Content Creators",19.99,34.99,USD,4.8,17,https://www.amazon.com/dp/B0D6NKMVMP,https://m.media-amazon.com/images/I/51uqAunv3VL._AC_UL960_FMwebp_QL65_.jpg,1,19.99,False,False,True,False,100.0,"FREE delivery Wed, Jul 31 on $35 of items shipped by AmazonOr fastest delivery Mon, Jul 29",False,,,,
4,4,B0D9JXR3BH,"HDMI Splitter -HDMI Splitter 1 in 2 Out Adapter Cable-HDMI Male 1080P to Dual HDMI Female 1 to 2 Way, for HDMI HD, LCD, TV，Support Two TVs at The Same Time Transmit Video and Audio Simultaneously",13.89,,USD,4.8,45877,https://www.amazon.com/dp/B0D9JXR3BH,https://m.media-amazon.com/images/I/612gNsa7J5L._AC_UL960_FMwebp_QL65_.jpg,1,13.89,False,False,True,False,200.0,"FREE delivery Wed, Jul 31 on $35 of items shipped by AmazonOr fastest delivery Mon, Jul 29",False,Save $3.00 with coupon,,,
5,5,B0D923QDHR,"TV Antenna, Antenna TV Digital HD Indoor, TV Antenna Indoor, Support 4K 1080p Free Local Channels-Support TV Antenna for Smart TV Indoor and All Older TV&#x27;s -Signal Booster 16FT Coax HDTV Cable",26.98,,USD,4.8,218824,https://www.amazon.com/dp/B0D923QDHR,https://m.media-amazon.com/images/I/61EFD+R3naL._AC_UL960_FMwebp_QL65_.jpg,1,26.98,False,False,False,False,500.0,FREE delivery on $35 shipped by Amazon.,False,Save $5.00 with coupon,,,
6,6,B0D4WGL353,"SAMSUNG Galaxy Buds 3 AI True Wireless Bluetooth Earbuds, Sound Optimization, Real-Time Interpreter, Noise Cancelling, Redesigned Fit, Touch Control, Silver [US Version, Amazon Exclusive 2Yr Warranty]",179.99,,USD,4.6,0,https://www.amazon.com/dp/B0D4WGL353,https://m.media-amazon.com/images/I/61cFrvuIbdL._AC_UL960_FMwebp_QL65_.jpg,1,179.99,False,False,True,False,2.0,"FREE delivery Wed, Jul 31 Or fastest delivery Mon, Jul 29",True,,,,
7,7,B0D5QNFDHZ,"Ferilinso 3 Pack Screen Protector for Samsung Galaxy Z Flip 6 [Phone Case Friendly], Inside Anti-Spy Film with 3 Pack Back Tempered Glass + 3 Pack Camera Lens Protector Accessories",9.99,,USD,4.4,2367,https://www.amazon.com/dp/B0D5QNFDHZ,https://m.media-amazon.com/images/I/71esduhy+4L._AC_UL960_FMwebp_QL65_.jpg,1,9.99,False,False,True,False,1.0,"FREE delivery Wed, Jul 31 on $35 of items shipped by AmazonOr fastest delivery Mon, Jul 29",False,,,,
8,8,B0D9JMXV2B,5.1 Wireless CarPlay Adapter for All Factory Wired CarPlay Cars Wireless CarPlay Dongle Convert Wired to Wireless CarPlay,74.98,,USD,4.6,0,https://www.amazon.com/dp/B0D9JMXV2B,https://m.media-amazon.com/images/I/71tDOP-Pp0L._AC_UL960_FMwebp_QL65_.jpg,1,74.98,True,False,True,False,500.0,"FREE delivery Wed, Jul 31 Or fastest delivery Mon, Jul 29",False,Save $20.00 with coupon,,,
9,9,B0D583XV3S,"Car Carplay Cable for Iphone 15 Pro Max Car charger iphone 15 Car Charger, Iphone 15 Carplay Cable USB a to USB c Adapter iphone 15 Pro Plus Car Charger, iPad USB C Cable 10th Pro Air 5th 4th Mini 6th",8.99,9.99,USD,5.0,5,https://www.amazon.com/dp/B0D583XV3S,https://m.media-amazon.com/images/I/517tDXHPGnL._AC_UL960_FMwebp_QL65_.jpg,1,8.99,False,False,True,False,2.0,"FREE delivery Wed, Jul 31 on $35 of items shipped by AmazonOr fastest delivery Mon, Jul 29",False,Save 5% with coupon,,,
10,10,B0D7MNMYR2,"iPhone Charger Cable,3Pack (MFi Certified) Data Sync Charging Cords with 3Pack USB Wall Charger Travel Plug Adapter Compatible with iPhone 14Pro/13 Pro/12/12 Pro Max/11 Pro Max/XS Max/XS/XR/X/8",19.77,,USD,4.8,124,https://www.amazon.com/dp/B0D7MNMYR2,https://m.media-amazon.com/images/I/61383+Tj9KL._AC_UL960_FMwebp_QL65_.jpg,9,14.12,False,False,True,False,10.0,"FREE delivery Wed, Jul 31 on $35 of items shipped by AmazonOr fastest delivery Mon, Jul 29",False,Save 30% with coupon,,,
