,review_id,review_title,review_comment,review_star_rating,review_link,review_author,review_author_avatar,review_images,review_video,review_date,is_verified_purchase,reviewed_product_asin,helpful_vote_statement,review_video.stream_url,review_video.closed_captions_url,review_video.thumbnail_url
0,RWBKFQA9IGIAR,Nice Chargers at a Great Price!,"Purchased these to replace an older set in our Apple Family. Received quickly and found them to be of good quaility at a very reasonable price. The fit was spot on and they charge pretty quick compared to my older ones. Looking forward to getting some long usage time from this set, yes, I would reccomend.",5,https://www.amazon.com/gp/customer-reviews/RWBKFQA9IGIAR,John Sandfer,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","['https://m.media-amazon.com/images/I/61vN4UBEQHL._SY88.jpg', 'https://m.media-amazon.com/images/I/71ATziVDetL._SY88.jpg', 'https://m.media-amazon.com/images/I/71TvYNiTzFL._SY88.jpg']",,"Reviewed in the United States on July 24, 2024",True,B0D9H39JL7,,,,
1,R2W2W7I5WVVOBD,Set of 2 quick chargers,"Very sturdy charging cables and the USB C adaptor box locks in place very well to the cable and the wall. Charges my phone faster than all my other chargers. Overall, I highly recommend this set to anyone with an iPhone.",5,https://www.amazon.com/gp/customer-reviews/R2W2W7I5WVVOBD,Lindsey B,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/fac7d21b-cf26-458e-859f-cf8d26e571ca._CR0,0,437,437_SX48_.jpg",[],,"Reviewed in the United States on July 22, 2024",True,B0D9H39JL7,,,,
2,R3AH6NPMFRF1LI,It works,I’m glad I ordered these,5,https://www.amazon.com/gp/customer-reviews/R3AH6NPMFRF1LI,Amanda,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",[],,"Reviewed in the United States on July 22, 2024",True,B0D9H39JL7,,,,
3,R10R5N9BNISB4E,Is actually faster than sonic,It charge my phone really fast in 10 minutes max!!! I recommend for any iOS device!!!,5,https://www.amazon.com/gp/customer-reviews/R10R5N9BNISB4E,EL WANG ,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/9afeab58-e19d-4147-8d15-00af7593b7a8._CR6,0,487,487_SX48_.jpg","['https://m.media-amazon.com/images/I/618Xnh1On5L._SY88.jpg', 'https://m.media-amazon.com/images/I/61z9dMLLAQL._SY88.jpg', 'https://m.media-amazon.com/images/I/71L2L6PqhWL._SY88.jpg', 'https://m.media-amazon.com/images/I/71TOfWXnpoL._SY88.jpg']",,"Reviewed in the United States on July 20, 2024",True,B0D9H39JL7,,,,
4,RVMRL1LZW6UIA,Great Sound for a Great Price,"I opened them and they were already charged and ready to go. I used them for the gym and had zero issues with them. The sound quality was good and the touch functionality is great and easy to use. I’d definitely recommend these if you do not want to spend a lot of money on earbuds,
they are exactly what you pay: a pair of solid, budget-friendly earbuds. The sound quality is decent

These are both cute and functional. If you have small ears like me, you’ll definitely need the smallest tips, and even then I experience mild soreness after wearing these for extended periods, They’re super cute and the touch controls are useful and intuitive. However, there is no volume control on the earbud which I feel is tough if you’re using these to exercise or during periods when your phone is out of reach. There isn’t much bass, but that’s common in earbuds. If you’re looking for bass, I’d recommend over-ear headphones instead. For what I paid, I’m pleased with what I got These have a better case and much better touch controls, though. The fit is good, The batteries in this thing are amazing - They will play a long time without needing to recharge. Bluetooth connectivity is simple and works great. The touch controls are easy to use, Simple taps and double taps on the buds for volume control and track skipping. I can also access Siri with a long tap. You can also accept calls and end calls with touch control.

 I  never have a problem connecting to my devices. These are great work and outdoor activities. Would recommend these for sure.",5,https://www.amazon.com/gp/customer-reviews/RVMRL1LZW6UIA,Kay Wilkes,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/44de5d88-b2d2-4b93-a4c4-b4217503accd._CR0,0,500,500_SX48_.jpg",[],,"Reviewed in the United States on October 25, 2023",True,B0D7VRMJ9Y,27 people found this helpful,,,
5,R2QOILWX3Z4TJC,My Third pair of Wireless Headphones I have purchased from this company!,"I recently bought the TAGRY XO7 true wireless earphones for my workout sessions, and I couldn't be more satisfied. These earbuds boast an impeccable design that keeps them securely in place during even the most intense exercises. I've experienced zero slippage, and their comfort is so exceptional that I often forget I'm wearing them! I run with them as well.

The sound quality is truly remarkable, especially given the affordable price point. The audio is crisp, clear, and delivers impressive bass—ideal for my upbeat workout music. Bluetooth pairing was a breeze, and I've encountered no connectivity issues, even while navigating the gym.

What truly sets these earbuds apart is their commendable battery life. With approximately 5 hours of continuous playback per charge, they effortlessly power through my daily workouts. The charging case adds even more convenience, providing an additional 2 full charges to keep me worry-free. Many times it lasts several days!

While other models fall short, TAGRY has nailed it with these wireless earbuds, offering impressive quality and performance at a budget-friendly price. If you prioritize comfort, stability, and excellent sound in your workout earbuds, I wholeheartedly recommend giving these a try—they won't disappoint! Again, the 3rd set of phones I have purchased from this company!",5,https://www.amazon.com/gp/customer-reviews/R2QOILWX3Z4TJC,senopac,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","['https://m.media-amazon.com/images/I/61hr-KeZ4CL._SY88.jpg', 'https://m.media-amazon.com/images/I/71F2++M1YlL._SY88.jpg', 'https://m.media-amazon.com/images/I/71SAhPpT7DL._SY88.jpg', 'https://m.media-amazon.com/images/I/71TPS3WL4TL._SY88.jpg', 'https://m.media-amazon.com/images/I/71g7CVXlDpL._SY88.jpg']",,"Reviewed in the United States on November 11, 2023",True,B0D7VRMJ9Y,20 people found this helpful,,,
6,R2YW8H2FKDUI8Q,New upgrades,"The Tagry X07 headphones offer impressive audio quality with rich, balanced sound. Their over-ear design provides excellent noise isolation for immersive listening. The build quality is robust, featuring sturdy materials and comfortable padding for extended wear.
These headphones boast a long battery life, lasting up to 30 hours on a single charge. The quick charge feature is a plus, providing hours of playback with just a short charge.
The Bluetooth connectivity is reliable, and the touch controls make it easy to adjust volume and playback. The included microphone delivers clear call quality.
Although the design is somewhat sleek, it ensures a secure fit and maximum comfort. Overall, the Tagry X07 headphones offer exceptional value for their price, delivering excellent sound, comfort, and convenience.",5,https://www.amazon.com/gp/customer-reviews/R2YW8H2FKDUI8Q,Ponds,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/ea1b0b2c-6113-48d8-9f70-87198bdf19b2._CR0,54.0,225,225_SX48_.jpg","['https://m.media-amazon.com/images/I/71kfVdudy5L._SY88.jpg', 'https://m.media-amazon.com/images/I/71mafM-PLtL._SY88.jpg', 'https://m.media-amazon.com/images/I/811RtcoBb6L._SY88.jpg', 'https://m.media-amazon.com/images/I/812DzsxcqdL._SY88.jpg', 'https://m.media-amazon.com/images/I/81799y1qcpL._SY88.jpg', 'https://m.media-amazon.com/images/I/81k7s9noUPL._SY88.jpg']",,"Reviewed in the United States on September 2, 2023",True,B0D7VRMJ9Y,10 people found this helpful,https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-us-east-1-prod/301a42ce-9bbf-4a40-99fd-3be6dc0a25ff/default.vertical.jobtemplate.hls.m3u8,,https://m.media-amazon.com/images/I/5194edH-biL._SY256._SY256.jpg
7,R3KDF3IS6WNDWL,A RIGOROUS WORKOUT MUST HAVE!,"The TAGRY True Wireless Headphones with ear hooks are amazing!

They're incredibly lightweight, making them comfortable for long wear during sports or any activity. Despite their feather-light design, the sound quality is absolutely incredible, delivering a rich audio experience that truly immerses you in your music.

These headphones are a perfect companion for sports enthusiasts and anyone who values both comfort and top-notch sound in their earbuds. Additionally, their secure earhook design ensures they stay in place even during vigorous workouts, so you can focus on your fitness goals without any interruptions.

The battery life is impressive, providing hours of uninterrupted music playback. Furthermore, the easy-to-use controls make adjusting volume or changing tracks a breeze. TAGRY has truly delivered an exceptional product that combines comfort, sound quality, and convenience, making these wireless headphones a top choice for active individuals seeking the best audio experience during their workouts or daily routines.",5,https://www.amazon.com/gp/customer-reviews/R3KDF3IS6WNDWL,Joharis,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",[],,"Reviewed in the United States on September 14, 2023",True,B0D7VRMJ9Y,8 people found this helpful,,,
8,R3MMSZRUACQBTI,Impressed with the comfort and sound of these wireless earbuds,"I recently bought the TAGRY true wireless earphones to use for working out and running and have been very happy with them so far. The design keeps these earbuds securely in place even during intense exercise like running or other workouts. They don't budge at all and are so comfortable I sometimes forget I'm wearing them!

The sound quality is fantastic, especially for the price point. Audio is crisp, clear, and has good bass - perfect for listening to upbeat workout music. I was able to easily pair them to my phone via Bluetooth and have had no connectivity issues, even when using them across the gym.

The battery life is solid, giving me about 5 hours of continuous playback per charge. The charging case conveniently provides an additional 2 full charges so I don't have to worry about battery depletion for my daily workouts.

Overall, these TAGRY wireless earbuds deliver really impressive quality and performance considering their budget-friendly price point. If you're looking for comfort, stability, and great sound in workout earbuds, I highly recommend checking these out. They will not disappoint!",5,https://www.amazon.com/gp/customer-reviews/R3MMSZRUACQBTI,Amazon Customer,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png","['https://m.media-amazon.com/images/I/617Wu+Z7qnL._SY88.jpg', 'https://m.media-amazon.com/images/I/710zfgAMT+L._SY88.jpg', 'https://m.media-amazon.com/images/I/71iwl-uM5iL._SY88.jpg', 'https://m.media-amazon.com/images/I/71pryXntB3L._SY88.jpg', 'https://m.media-amazon.com/images/I/81CUU5LoT9L._SY88.jpg']",,"Reviewed in the United States on November 8, 2023",True,B0D7VRMJ9Y,8 people found this helpful,https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-us-east-1-prod/acc4c3f7-f32e-4693-9361-e0f477395eb1/default.vertical.jobtemplate.hls.m3u8,https://m.media-amazon.com/images/S/vse-vms-closed-captions-artifact-us-east-1-prod/closedCaptions/e8d90158-2781-4a07-9385-9c96cb8cacb1.vtt,https://m.media-amazon.com/images/I/51btz7Npk6L._SY256._SY256.jpg
9,R384UOFRD8HQY6,Absolute game-changer for my workout and running routines!,"⭐️⭐️⭐️⭐️⭐️

The TAGRY True Wireless Earphones with Over-ear Earhook are an absolute game-changer for my workout and running routines. These earphones have exceeded my expectations in every aspect. The over-ear hooks provide an incredibly secure fit, ensuring they stay in place no matter how intense my workout gets.

The sound quality is outstanding - crisp, clear, and with a perfect balance between highs and lows. I can fully immerse myself in my music without any distortion or external noise interference, which truly enhances my exercise experience.

Their wireless design is incredibly convenient; I never have to worry about tangled wires or the earphones slipping out during a jog. The battery life is fantastic, providing hours of uninterrupted use on a single charge, which is ideal for longer workouts or even a busy day out.

The build quality is durable and sweat-resistant, making them ideal for vigorous workouts. The overall design is sleek and comfortable, and I appreciate the additional ear tip options provided, ensuring a customizable and snug fit for anyone.

The Bluetooth connectivity is seamless, pairing effortlessly with my devices every time. The touch controls make it easy to manage music and calls without having to reach for my phone.

In summary, the TAGRY True Wireless Earphones with Over-ear Earhook are a must-have for anyone seeking reliable, high-quality earphones for workouts or running. They've become an indispensable part of my exercise routine, and I couldn't be happier with my purchase. Highly recommended!",5,https://www.amazon.com/gp/customer-reviews/R384UOFRD8HQY6,awesome,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",[],,"Reviewed in the United States on November 9, 2023",True,B0D7VRMJ9Y,8 people found this helpful,,,
