,id,vader_neg,vader_neu,vader_pos,vader_compound,roberta_neg,roberta_neu,roberta_pos,asin,product_title,price,product_star_rating,ratings,is_best_seller,is_amazon_choice,is_prime,climate_pledge_friendly,sales_volume_in_past_month,has_variations,delivery_category,review_id,review_title,comment,review_star_rating,product_asin,date,sentiment
0,1,0.0,0.888,0.112,0.4404,0.0041305432096123695,0.06453141570091248,0.9313380122184753,B0CWXNS552,Apple AirTag,24.98,4.6,8301.0,True,False,True,False,10000.0,False,Free delivery with minimum order,R3G2Z3N95Z9PVN,Excellent product!,"These have been a life saver for keeping up with belongings.  Have many items tagged, including suitcase when flying.  Easy to set up and use.",5,B0CWXNS552,2024-09-06,Positive
1,2,0.023,0.869,0.108,0.9657,0.014345931820571423,0.0882287472486496,0.8974253535270691,B0CWXNS552,Apple AirTag,24.98,4.6,8301.0,True,False,True,False,10000.0,False,Free delivery with minimum order,RWMO0SCFDLH2U,AirTags are awesome...but beware...they will multiply!,"I've been using AirTags for a couple of years now and I've got 5 of them. I have one attached to my keys, another in my briefcase, one in my wallet, another on my dog's collar, and one in my suitcase. The latter paid for itself in spades a couple of weeks ago when my luggage was ""misplaced"" by the airline for nearly 5 days. The AirTag allowed me to tell the airline that no, my bag was not anywhere near Las Vegas....in fact, they sent it on an all expense paid trip to Alabama! It was really awesome to be able to show the baggage agent EXACTLY where my bag wound up. In this case, it was invaluable as the airline baggage agent put someone else's tag on my bag.

AirTags are wonderful little gadgets...if you have an iPhone. The batteries last around a year and are easily replaced with inexpensive CR2023 batteries. They're small, work great, and although they are a bit expensive, they can be invaluable. The only thing to remember is that they only work if someone with an iPhone passes by them within Bluetooth range, which is around 15 feet. So if you lose it on a mountain top somewhere, it's probably not going to be very useful. Otherwise...they're awesome!",5,B0CWXNS552,2024-08-27,Positive
2,3,0.0,0.782,0.218,0.7717,0.010176089592278004,0.05007142201066017,0.939752459526062,B0CWXNS552,Apple AirTag,24.98,4.6,8301.0,True,False,True,False,10000.0,False,Free delivery with minimum order,R3GVGOVQIS07A3,Wish I'd Bought One Long  Ago,I loved being able to know where my luggage was - especially on tight connections. Worked as expected. Helpful at baggage claim when so many bags look similar.,5,B0CWXNS552,2024-09-02,Positive
3,4,0.034,0.888,0.078,0.4404,0.0043773408979177475,0.06079506874084473,0.9348275661468506,B0CWXNS552,Apple AirTag,24.98,4.6,8301.0,True,False,True,False,10000.0,False,Free delivery with minimum order,R16FKE7NDKWJK7,Great value,"Typical high quality product from Apple. Simple to use and pair with iPhone. Small, clean appearance for a minimal footprint. Can easily slide into a bag or other space. Tracking is fairly accurate, particularly in more populated areas, as these work by pinging nearby iPhones for location data. I use one on my motorcycle and one on my bag and have had no issues.",5,B0CWXNS552,2024-08-22,Positive
4,5,0.037,0.578,0.385,0.967,0.002329873153939843,0.017802556976675987,0.9798675775527954,B0CWXNS552,Apple AirTag,24.98,4.6,8301.0,True,False,True,False,10000.0,False,Free delivery with minimum order,R241JDC5QO2IVK,Great product,Great product to have on things that can get lost easily. It was super easy to set up and connect to the phone. Added a case to protect it a bit. It’s sleek and look good on what ever your adding it to. Definitely recommend these tags.,5,B0CWXNS552,2024-08-24,Positive
5,6,0.01,0.805,0.185,0.9881,0.0030775093473494053,0.029092740267515182,0.967829704284668,B0CWXNS552,Apple AirTag,24.98,4.6,8301.0,True,False,True,False,10000.0,False,Free delivery with minimum order,RRRDE27RGTRT8,A Must-Have for Pet Owners,"The Apple AirTag has been a game-changer for me as a dog owner. I use it to keep track of my dog's location, and it has provided me with incredible peace of mind. The AirTag is small and lightweight, so it easily attaches to my dog's collar without causing any discomfort.

What I love most about the AirTag is its accuracy and reliability. The Find My app on my iPhone lets me see exactly where my dog is at all times. If he ever wanders off, I can quickly locate him, which is especially reassuring during walks in unfamiliar areas or when visiting busy parks.

Another fantastic feature is the Precision Finding, which helps me pinpoint his location down to the exact spot. The AirTag even plays a sound to help me find him if he's hiding nearby. Plus, with the vast network of Apple devices, even if he gets far away, the AirTag can still be tracked by other iPhones in the area.

Overall, the AirTag has become an essential tool in keeping my dog safe. I highly recommend it to any pet owner who wants a reliable way to ensure their furry friend's safety and security.",5,B0CWXNS552,2024-08-28,Positive
6,7,0.0,0.658,0.342,0.9186,0.0016382635803893209,0.02380186878144741,0.9745599031448364,B0CWXNS552,Apple AirTag,24.98,4.6,8301.0,True,False,True,False,10000.0,False,Free delivery with minimum order,RFB8KYGUDXO1L,Great price,"Great price, fast shipping (compared to when purchased from the Apple Store), good quality, slim size easy to carry, compatible with Apple products, sleek appearance. Location feature is effective",5,B0CWXNS552,2024-09-04,Positive
7,8,0.02,0.882,0.098,0.6908,0.025042684748768806,0.24985210597515106,0.7251052260398865,B0CWXNS552,Apple AirTag,24.98,4.6,8301.0,True,False,True,False,10000.0,False,Free delivery with minimum order,R3M824A3E0UXJD,No internet or WiFi doesn’t work,Using it for option for puppy tracker. We live on 24 acres i guess some would say in the country. Size is great for a dog collar. Noise is turned off so it doesn’t freight him. Quality I’m still playing with it to see if i can bring up the app before i leave the house and it still works.,4,B0CWXNS552,2024-09-07,Positive
8,9,0.057,0.77,0.173,0.9676,0.006039267405867577,0.03853858262300491,0.9554221034049988,B0CWXNS552,Apple AirTag,24.98,4.6,8301.0,True,False,True,False,10000.0,False,Free delivery with minimum order,R2TQT1FIUVT6J6,Can Never Have Too Many AirTags!,"I have quite a few AirTags now and have been using them for several years. I never thought I really needed them or would ever have as many of them in use as I do now, but they have all been great so far. I put them in many different bags which helps me keep track of everything and the reminders that I get if I forget one or even get too far away from it are really helpful. After several years, I have yet to have one malfunction or fail and the batter life is excellent, I would say I change the battery in one about once a year which is great in my opinion and you always get a notification when a battery is running low. For the price, they are worth it in my opinion and I find that I can always get a discounted price buying them through Amazon versus directly through Apple which is plus.",5,B0CWXNS552,2024-09-03,Positive
9,10,0.124,0.795,0.081,-0.9508,0.4595057964324951,0.3843028247356415,0.15619143843650818,B0CWXNS552,Apple AirTag,24.98,4.6,8301.0,True,False,True,False,10000.0,False,Free delivery with minimum order,R38VG7WGJD7BNG,A True Life Saver,"These Air Tags are a life saver and I say that from experience! I've had them on my dogs for over a year now, but never really had to use them until recently. One of my dogs is a 13-year-old Yorkie/Bichon who is deaf, and has heart-issues; He is severely frightened by fireworks. We recently had tornadoes that damaged the fences in our yard, but we were not aware that he could actually exit the yard through the neighbors yard because their fence was damaged on the opposite side as well. On the 4th of July, we let our dogs out to use the bathroom, and seeing and feeling the vibrations of the fireworks, he got scared and ran off. We searched for him for hours, following the air tags location, but he kept moving. Finally the location stopped; he was in a home a few blocks away. We went to the house, but of course they lied and said he was not there. We pleaded with them to give him to us, due to his health issues and medication he needed, but they continued to deny his presence. We called the police of course, because we knew they were lying! I guess, since they couldn't figure out how we were able to track him to their home, they just let him go back out into the street about about 20 minutes later. Another hour and a half later, we found him hiding behind a flower pot on the next block. If it were for the accuracy of this Air Tag, we probably never would've got my fur baby back home! I am so happy I invested in it!

Sorry for the long story, but the bottom line is, if you love and cherish your fur babies like I do, it should be a no-brainer! Get an Air Tag! Especially if you have breeds that are highly coveted and prone to being taken and not returned. Microchips are worthless; they only help if someone actually returns your pet to the Humane Society or something. Don't depend on the off-chance that your pet is turned in by a good Samaritan. In 2024, unfortunately, there aren't many anymore :-(",5,B0CWXNS552,2024-07-18,Negative
10,11,0.023,0.757,0.22,0.9794,0.0019931397400796413,0.013217434287071228,0.9847894906997681,B0D54JZTHY,Apple AirTag 4 Pack,79.98,4.7,2360.0,False,False,True,False,10000.0,False,Free delivery,R3VD9Z5J4C8345,Perfect for Tracking During a Move!,"I recently purchased the Apple AirTag 4 Pack to help keep track of my U-Haul pods during a big move, and they worked perfectly! Setting them up was incredibly easy—just a simple tap with my iPhone, and they were ready to go. The precision tracking gave me peace of mind throughout the entire process. I could see exactly where my pods were at all times, which made the move so much less stressful.

I used three of the AirTags for my move and one for my dog. I bought a waterproof case on Amazon (which I will review separately), and so far, it works great! It’s perfect for checking on my dog and ensuring he’s safe. Highly recommend these for anyone needing reliable and easy-to-use tracking devices!",5,B0D54JZTHY,2024-08-16,Positive
11,12,0.023,0.739,0.238,0.9745,0.0025479516480118036,0.02032264694571495,0.9771293997764587,B0D54JZTHY,Apple AirTag 4 Pack,79.98,4.7,2360.0,False,False,True,False,10000.0,False,Free delivery,R374W0A3QU1JR1,"Eco-Friendly, Reliable, and Seamlessly Integrated into the Apple Ecosystem","Apple AirTags are a fantastic addition to my Apple ecosystem, offering a reliable way to keep track of your belongings. I particularly appreciate that the battery can be easily replaced without needing to discard the entire device, reducing waste. These tags are small, easy to use, and work flawlessly with the wide range of cases and holder available. If you can think of tracking it, I bet there is an adapter or attachment for an AirTag. The ability to locate them withing a few feet and leverage the vast network of iPhone's for tracking is truly impressive. If you're an Apple user, these are a must-have for peace of mind.",5,B0D54JZTHY,2024-08-27,Positive
12,13,0.045,0.707,0.249,0.7783,0.00341420853510499,0.06443438678979874,0.9321514368057251,B0D54JZTHY,Apple AirTag 4 Pack,79.98,4.7,2360.0,False,False,True,False,10000.0,False,Free delivery,R2H02JD28X7V7I,Great way to find lost items,Got these for traveling and have tested these and they do work well. Easy setup. Hides easily is most items. Also placed on it the car in case of theft. Tracks well,5,B0D54JZTHY,2024-09-02,Positive
13,14,0.0,0.86,0.14,0.9052,0.021423956379294395,0.28016752004623413,0.6984084844589233,B0D54JZTHY,Apple AirTag 4 Pack,79.98,4.7,2360.0,False,False,True,False,10000.0,False,Free delivery,R1AMG18LFQC5RP,Great product,"We typically use these on our cats’ collars (they occasionally make a break for it) so we can track them. They’re not 100% accurate on location all the time since they sometimes haven’t updated in an hour or so, but we can usually find the right area and then play the sound. In our experience the battery lasts around 6 months, but buying a replacement battery is pretty cheap and they’re easy to switch out.",5,B0D54JZTHY,2024-08-14,Positive
14,15,0.035,0.668,0.297,0.9865,0.018984323367476463,0.0744752436876297,0.9065403938293457,B0D54JZTHY,Apple AirTag 4 Pack,79.98,4.7,2360.0,False,False,True,False,10000.0,False,Free delivery,RQGRB4GZE5RBF,LOVE THESE,"I don’t know why it took me so long to get some of these.  Considering my lack of keeping track of anything these have been super helpful.  I had to use the find feature the first day when I misplaced my keys again.  SO MUCH TIME SAVED.  I love that these last for months before needing a battery change.  I definitely recommend these for anyone who tends to forget where they put their keys… or wallet, book bag, iPods, you get the point.  The products description is accurate and truthful.  THE SETUP WAS SUPER SIMPLE DEFINITELY USER FRIENDLY.",5,B0D54JZTHY,2024-08-12,Positive
15,16,0.053,0.855,0.093,0.3902,0.30771175026893616,0.4638379216194153,0.22845032811164856,B0D54JZTHY,Apple AirTag 4 Pack,79.98,4.7,2360.0,False,False,True,False,10000.0,False,Free delivery,RIBST95RE1F96,Handy Gadgets with room to improve,"These AirTags are extremely useful when you travel abroad with multiple transfer flights. Just through one in each of the checked luggage and you’ll be able to see the approximate location. If it’s lost, you’ll know exactly where it’s at to make things easier.

However it’s time delayed that make them not as useful for kids not old enough to have a watch or phone that you want to locate them with AirTags. They could be refreshed more frequent to have real-time or near-real time updates.

It’s useful for non urgent approximation, but if you are looking for real time precise location, then this might not be as helpful.",4,B0D54JZTHY,2024-09-07,Neutral
16,17,0.022,0.931,0.047,0.5255,0.008399147540330887,0.16274189949035645,0.8288589715957642,B0D54JZTHY,Apple AirTag 4 Pack,79.98,4.7,2360.0,False,False,True,False,10000.0,False,Free delivery,R2BTDOKLNTZWRB,Incredibly Useful!,"Bought these after my cat ran away (and came back) so I could track her if she got out again. Immediately connected them to my phone and put one on her. Of course she did sneak outside again, and with these we were able to find her under our deck just shortly after we realized she got out. I was able to use the sound feature to find the area she was in and used the location feature to track how close I was to her. These are the perfect size for a small cat and fit right inside the collar I got to hold one. I also used these on a trip to Florida and have one on my daughters back up and they are always very accurate with their locations. Sad I waited this long to use these!",5,B0D54JZTHY,2024-08-29,Positive
